ant	posx	posy	bit
1	23.0	21.0	50
2	35.0	28.0	34
3	28.0	46.6	10
4	28.0	65.6	25
5	7.5	66.5	26
6	15.5	99.0	49
7	3.0	111.5	41
8	31.0	85.5	33
9	43.0	48.0	2
10	42.0	55.0	48
11	37.5	63.0	32
12	38.0	73.5	9
13	41.0	81.0	17
14	53.5	107.0	57
15	53.5	79.0	1
16	49.0	72.0	16
17	47.0	68.0	24
18	47.0	59.5	40
19	53.5	60.5	8
20	52.5	52.0	56
21	52.0	30.5	18
22	55.0	69.0	0
23	62.5	85.0	62
24	67.0	77.0	46
25	61.5	71.0	54
26	61.0	67.5	30
27	65.5	65.0	38
28	61.5	60.0	14
29	67.0	55.5	22
30	61.0	50.5	6
31	67.0	42.5	53
32	79.0	94	52
33	93.5	103.5	12
34	89.5	83.0	60
35	83.0	65.0	45
36	83.0	52.0	61
37	90.0	42.0	37
38	84.0	34.0	29
39	101.0	27.0	13
40	98.5	15.0	21
41	110.5	3.5	5
42	112.0	64.0	44
43	111.5	111.0	36
